Armor|Marvel Comics,Female,Unknown,good,Black,black,Unknown,"{'Height': '163.0 cm', 'Weight': '50.0 kg'}"
Atlas|Marvel Comics,Male,Mutant,good,Red,brown,Unknown,"{'Height': '183.0 cm', 'Weight': '101.0 kg'}"
Atlas|DC Comics,Male,God / Eternal,bad,Brown,blue,Unknown,"{'Height': '198.0 cm', 'Weight': '126.0 kg'}"
Atom|DC Comics,Male,Unknown,good,Red,blue,Unknown,"{'Height': '178.0 cm', 'Weight': '68.0 kg'}"
Atom Girl|DC Comics,Female,Unknown,good,Black,black,Unknown,"{'Height': '168.0 cm', 'Weight': '54.0 kg'}"
Atom II|DC Comics,Male,Human,good,Auburn,brown,Unknown,"{'Height': '183.0 cm', 'Weight': '81.0 kg'}"
Aurora|Marvel Comics,Female,Mutant,good,Black,blue,Unknown,"{'Height': '180.0 cm', 'Weight': '63.0 kg'}"
Azazel|Marvel Comics,Male,Neyaphem,bad,Black,yellow,red,"{'Height': '183.0 cm', 'Weight': '67.0 kg'}"
Bane|DC Comics,Male,Human,bad,Unknown,Unknown,Unknown,"{'Height': '203.0 cm', 'Weight': '180.0 kg'}"
Banshee|Marvel Comics,Male,Human,good,Strawberry Blond,green,Unknown,"{'Height': '183.0 cm', 'Weight': '77.0 kg'}"
Bantam|Marvel Comics,Male,Unknown,good,Black,brown,Unknown,"{'Height': '165.0 cm', 'Weight': '54.0 kg'}"
Batgirl|DC Comics,Female,Human,good,Red,green,Unknown,"{'Height': '170.0 cm', 'Weight': '57.0 kg'}"
Batgirl IV|DC Comics,Female,Human,good,Black,green,Unknown,"{'Height': '165.0 cm', 'Weight': '52.0 kg'}"
Batgirl VI|DC Comics,Female,Unknown,good,Blond,blue,Unknown,"{'Height': '168.0 cm', 'Weight': '61.0 kg'}"
Batman|DC Comics,Male,Human,good,black,blue,Unknown,"{'Height': '188.0 cm', 'Weight': '95.0 kg'}"
Batman|DC Comics,Male,Human,good,Black,blue,Unknown,"{'Height': '178.0 cm', 'Weight': '77.0 kg'}"
Batman II|DC Comics,Male,Human,good,Black,blue,Unknown,"{'Height': '178.0 cm', 'Weight': '79.0 kg'}"
Battlestar|Marvel Comics,Male,Unknown,good,Black,brown,Unknown,"{'Height': '198.0 cm', 'Weight': '133.0 kg'}"
Beak|Marvel Comics,Male,Unknown,good,White,black,Unknown,"{'Height': '175.0 cm', 'Weight': '63.0 kg'}"
Beast|Marvel Comics,Male,Mutant,good,Blue,blue,blue,"{'Height': '180.0 cm', 'Weight': '181.0 kg'}"
Beast Boy|DC Comics,Male,Human,good,Green,green,green,"{'Height': '173.0 cm', 'Weight': '68.0 kg'}"
Beta Ray Bill|Marvel Comics,Male,Unknown,good,No Hair,Unknown,Unknown,"{'Height': '201.0 cm', 'Weight': '216.0 kg'}"
Big Barda|DC Comics,Female,New God,bad,Black,blue,Unknown,"{'Height': '188.0 cm', 'Weight': '135.0 kg'}"
Big Man|Marvel Comics,Male,Unknown,bad,Brown,blue,Unknown,"{'Height': '165.0 cm', 'Weight': '71.0 kg'}"
Binary|Marvel Comics,Female,Unknown,good,Blond,blue,Unknown,"{'Height': '180.0 cm', 'Weight': '54.0 kg'}"
Bishop|Marvel Comics,Male,Mutant,good,No Hair,brown,Unknown,"{'Height': '198.0 cm', 'Weight': '124.0 kg'}"
Bizarro|DC Comics,Male,Bizarro,neutral,Black,black,white,"{'Height': '191.0 cm', 'Weight': '155.0 kg'}"
Black Adam|DC Comics,Male,Unknown,bad,Black,brown,Unknown,"{'Height': '191.0 cm', 'Weight': '113.0 kg'}"
Black Bolt|Marvel Comics,Male,Inhuman,good,Black,blue,Unknown,"{'Height': '188.0 cm', 'Weight': '95.0 kg'}"
Black Canary|DC Comics,Female,Human,good,Blond,blue,Unknown,"{'Height': '165.0 cm', 'Weight': '58.0 kg'}"
Black Canary|DC Comics,Female,Metahuman,good,Blond,blue,Unknown,"{'Height': '170.0 cm', 'Weight': '59.0 kg'}"
Black Cat|Marvel Comics,Female,Human,good,Blond,green,Unknown,"{'Height': '178.0 cm', 'Weight': '54.0 kg'}"
Black Knight III|Marvel Comics,Male,Human,good,Brown,brown,Unknown,"{'Height': '183.0 cm', 'Weight': '86.0 kg'}"
Black Lightning|DC Comics,Male,Unknown,good,No Hair,brown,Unknown,"{'Height': '185.0 cm', 'Weight': '90.0 kg'}"
Black Mamba|Marvel Comics,Female,Unknown,bad,Black,green,Unknown,"{'Height': '170.0 cm', 'Weight': '52.0 kg'}"
Black Manta|DC Comics,Male,Human,bad,No Hair,black,Unknown,"{'Height': '188.0 cm', 'Weight': '92.0 kg'}"
Black Panther|Marvel Comics,Male,Human,good,Black,brown,Unknown,"{'Height': '183.0 cm', 'Weight': '90.0 kg'}"
Black Widow|Marvel Comics,Female,Human,good,Auburn,green,Unknown,"{'Height': '170.0 cm', 'Weight': '59.0 kg'}"
Blackout|Marvel Comics,Male,Demon,bad,White,red,white,"{'Height': '191.0 cm', 'Weight': '104.0 kg'}"
Blackwing|Marvel Comics,Male,Unknown,bad,Black,blue,Unknown,"{'Height': '185.0 cm', 'Weight': '86.0 kg'}"
Blackwulf|Marvel Comics,Male,Alien,Unknown,White,red,Unknown,"{'Height': '188.0 cm', 'Weight': '88.0 kg'}"
Blade|Marvel Comics,Male,Vampire,good,Black,brown,Unknown,"{'Height': '188.0 cm', 'Weight': '97.0 kg'}"
Bling!|Marvel Comics,Female,Unknown,good,Unknown,Unknown,Unknown,"{'Height': '168.0 cm', 'Weight': '68.0 kg'}"
Blink|Marvel Comics,Female,Mutant,good,Magenta,green,pink,"{'Height': '165.0 cm', 'Weight': '56.0 kg'}"
Blizzard II|Marvel Comics,Male,Unknown,bad,Brown,brown,Unknown,"{'Height': '175.0 cm', 'Weight': '77.0 kg'}"
Blob|Marvel Comics,Male,Unknown,bad,Brown,brown,Unknown,"{'Height': '178.0 cm', 'Weight': '230.0 kg'}"
Bloodaxe|Marvel Comics,Female,Human,bad,Brown,blue,Unknown,"{'Height': '218.0 cm', 'Weight': '495.0 kg'}"
Blue Beetle II|DC Comics,Male,Unknown,good,Brown,blue,Unknown,"{'Height': '183.0 cm', 'Weight': '86.0 kg'}"
Boom-Boom|Marvel Comics,Female,Mutant,good,Blond,blue,Unknown,"{'Height': '165.0 cm', 'Weight': '55.0 kg'}"
Booster Gold|DC Comics,Male,Human,good,Blond,blue,Unknown,"{'Height': '196.0 cm', 'Weight': '97.0 kg'}"
Brainiac|DC Comics,Male,Android,bad,No Hair,green,green,"{'Height': '198.0 cm', 'Weight': '135.0 kg'}"
Brainiac 5|DC Comics,Male,Unknown,good,Blond,green,Unknown,"{'Height': '170.0 cm', 'Weight': '61.0 kg'}"
Brother Voodoo|Marvel Comics,Male,Human,good,Brown / White,brown,Unknown,"{'Height': '183.0 cm', 'Weight': '99.0 kg'}"
Buffy|Dark Horse Comics,Female,Human,good,Blond,green,Unknown,"{'Height': '157.0 cm', 'Weight': '52.0 kg'}"
Bullseye|Marvel Comics,Male,Human,bad,blond,blue,Unknown,"{'Height': '183.0 cm', 'Weight': '90.0 kg'}"
Bumblebee|DC Comics,Female,Human,good,Black,brown,Unknown,"{'Height': '170.0 cm', 'Weight': '59.0 kg'}"
Cable|Marvel Comics,Male,Mutant,good,White,blue,Unknown,"{'Height': '203.0 cm', 'Weight': '158.0 kg'}"
Callisto|Marvel Comics,Female,Unknown,bad,Black,blue,Unknown,"{'Height': '175.0 cm', 'Weight': '74.0 kg'}"
Cannonball|Marvel Comics,Male,Unknown,good,Blond,blue,Unknown,"{'Height': '183.0 cm', 'Weight': '81.0 kg'}"
Captain America|Marvel Comics,Male,Human,good,blond,blue,Unknown,"{'Height': '188.0 cm', 'Weight': '108.0 kg'}"
Captain Atom|DC Comics,Male,Human / Radiation,good,Silver,blue,silver,"{'Height': '193.0 cm', 'Weight': '90.0 kg'}"
Captain Britain|Marvel Comics,Male,Human,good,Blond,blue,Unknown,"{'Height': '198.0 cm', 'Weight': '116.0 kg'}"
Captain Marvel|Marvel Comics,Female,Human-Kree,good,Blond,blue,Unknown,"{'Height': '180.0 cm', 'Weight': '74.0 kg'}"
Captain Marvel|DC Comics,Male,Human,good,Black,blue,Unknown,"{'Height': '193.0 cm', 'Weight': '101.0 kg'}"
Captain Marvel II|DC Comics,Male,Human,good,Black,blue,Unknown,"{'Height': '175.0 cm', 'Weight': '74.0 kg'}"
Carnage|Marvel Comics,Male,Symbiote,bad,Red,green,Unknown,"{'Height': '185.0 cm', 'Weight': '86.0 kg'}"
Cat|Marvel Comics,Female,Unknown,good,Blond,blue,Unknown,"{'Height': '173.0 cm', 'Weight': '61.0 kg'}"
Catwoman|DC Comics,Female,Human,good,Black,green,Unknown,"{'Height': '175.0 cm', 'Weight': '61.0 kg'}"
Century|Marvel Comics,Male,Alien,good,White,white,grey,"{'Height': '201.0 cm', 'Weight': '97.0 kg'}"
Chamber|Marvel Comics,Male,Mutant,good,Brown,brown,Unknown,"{'Height': '175.0 cm', 'Weight': '63.0 kg'}"
Changeling|Marvel Comics,Male,Unknown,bad,Black,brown,Unknown,"{'Height': '180.0 cm', 'Weight': '81.0 kg'}"
Cheetah|DC Comics,Female,Human,bad,Blond,green,Unknown,"{'Height': '163.0 cm', 'Weight': '50.0 kg'}"
Cheetah II|DC Comics,Female,Human,bad,Brown,green,Unknown,"{'Height': '170.0 cm', 'Weight': '55.0 kg'}"
Cheetah III|DC Comics,Female,Human,bad,Brown,brown,Unknown,"{'Height': '175.0 cm', 'Weight': '54.0 kg'}"
Chromos|Team Epic TV,Male,Unknown,bad,Red / Grey,brown,Unknown,"{'Height': '185.0 cm', 'Weight': '86.0 kg'}"
Citizen Steel|DC Comics,Male,Human,good,Red,green,Unknown,"{'Height': '183.0 cm', 'Weight': '170.0 kg'}"
Cloak|Marvel Comics,Male,Unknown,good,black,brown,Unknown,"{'Height': '226.0 cm', 'Weight': '70.0 kg'}"
Colossus|Marvel Comics,Male,Mutant,good,Black,silver,Unknown,"{'Height': '226.0 cm', 'Weight': '225.0 kg'}"
Copycat|Marvel Comics,Female,Mutant,neutral,White,red,blue,"{'Height': '183.0 cm', 'Weight': '67.0 kg'}"
Cottonmouth|Marvel Comics,Male,Human,bad,Black,brown,Unknown,"{'Height': '183.0 cm', 'Weight': '99.0 kg'}"
Crimson Dynamo|Marvel Comics,Male,Unknown,good,No Hair,brown,Unknown,"{'Height': '180.0 cm', 'Weight': '104.0 kg'}"
Crystal|Marvel Comics,Female,Inhuman,good,Red,green,Unknown,"{'Height': '168.0 cm', 'Weight': '50.0 kg'}"
Cyborg|DC Comics,Male,Cyborg,good,Black,brown,Unknown,"{'Height': '198.0 cm', 'Weight': '173.0 kg'}"
Cyclops|Marvel Comics,Male,Mutant,good,Brown,brown,Unknown,"{'Height': '191.0 cm', 'Weight': '88.0 kg'}"
Dagger|Marvel Comics,Female,Unknown,good,Blond,blue,Unknown,"{'Height': '165.0 cm', 'Weight': '52.0 kg'}"
Daredevil|Marvel Comics,Male,Human,good,Red,blue,Unknown,"{'Height': '183.0 cm', 'Weight': '90.0 kg'}"
Darkhawk|Marvel Comics,Male,Human,good,Brown,brown,Unknown,"{'Height': '185.0 cm', 'Weight': '81.0 kg'}"
Darkseid|DC Comics,Male,New God,bad,No Hair,red,grey,"{'Height': '267.0 cm', 'Weight': '817.0 kg'}"
Darkstar|Marvel Comics,Female,Mutant,good,Blond,brown,Unknown,"{'Height': '168.0 cm', 'Weight': '56.0 kg'}"
Darth Vader|George Lucas,Male,Cyborg,bad,No Hair,yellow,Unknown,"{'Height': '198.0 cm', 'Weight': '135.0 kg'}"
Dash|Dark Horse Comics,Male,Human,good,Blond,blue,Unknown,"{'Height': '122.0 cm', 'Weight': '27.0 kg'}"
Dazzler|Marvel Comics,Female,Mutant,good,Blond,blue,Unknown,"{'Height': '173.0 cm', 'Weight': '52.0 kg'}"
Deadman|DC Comics,Male,Human,good,Black,blue,Unknown,"{'Height': '183.0 cm', 'Weight': '90.0 kg'}"
Deadpool|Marvel Comics,Male,Mutant,neutral,No Hair,brown,Unknown,"{'Height': '188.0 cm', 'Weight': '95.0 kg'}"
Deadshot|DC Comics,Male,Human,bad,Brown,brown,Unknown,"{'Height': '185.0 cm', 'Weight': '91.0 kg'}"
Deathlok|Marvel Comics,Male,Cyborg,good,Grey,brown,Unknown,"{'Height': '193.0 cm', 'Weight': '178.0 kg'}"
Deathstroke|DC Comics,Male,Human,neutral,White,blue,Unknown,"{'Height': '193.0 cm', 'Weight': '101.0 kg'}"
Demogoblin|Marvel Comics,Male,Demon,bad,No Hair,red,Unknown,"{'Height': '185.0 cm', 'Weight': '95.0 kg'}"
Destroyer|Marvel Comics,Male,Unknown,bad,Unknown,Unknown,Unknown,"{'Height': '188.0 cm', 'Weight': '383.0 kg'}"
Diamondback|Marvel Comics,Male,Human,bad,Black,brown,Unknown,"{'Height': '193.0 cm', 'Weight': '90.0 kg'}"
Doc Samson|Marvel Comics,Male,Human / Radiation,good,Green,blue,Unknown,"{'Height': '198.0 cm', 'Weight': '171.0 kg'}"
Doctor Doom|Marvel Comics,Male,Human,bad,Brown,brown,Unknown,"{'Height': '201.0 cm', 'Weight': '187.0 kg'}"
Doctor Doom II|Marvel Comics,Male,Unknown,bad,Brown,brown,Unknown,"{'Height': '201.0 cm', 'Weight': '132.0 kg'}"
Doctor Fate|DC Comics,Male,Human,good,Blond,blue,Unknown,"{'Height': '188.0 cm', 'Weight': '89.0 kg'}"
Doctor Octopus|Marvel Comics,Male,Human,bad,Brown,brown,Unknown,"{'Height': '175.0 cm', 'Weight': '110.0 kg'}"
Doctor Strange|Marvel Comics,Male,Human,good,Black,grey,Unknown,"{'Height': '188.0 cm', 'Weight': '81.0 kg'}"
Domino|Marvel Comics,Female,Human,good,Black,blue,white,"{'Height': '173.0 cm', 'Weight': '54.0 kg'}"
Donna Troy|DC Comics,Female,Amazon,good,Black,blue,Unknown,"{'Height': '175.0 cm', 'Weight': '63.0 kg'}"
Doomsday|DC Comics,Male,Alien,bad,White,red,Unknown,"{'Height': '244.0 cm', 'Weight': '412.0 kg'}"
Doppelganger|Marvel Comics,Male,Unknown,bad,No Hair,white,Unknown,"{'Height': '196.0 cm', 'Weight': '104.0 kg'}"
Drax the Destroyer|Marvel Comics,Male,Human / Altered,good,No Hair,red,green,"{'Height': '193.0 cm', 'Weight': '306.0 kg'}"
Elastigirl|Dark Horse Comics,Female,Human,good,Brown,brown,Unknown,"{'Height': '168.0 cm', 'Weight': '56.0 kg'}"
Electro|Marvel Comics,Male,Human,bad,Auburn,blue,Unknown,"{'Height': '180.0 cm', 'Weight': '74.0 kg'}"
Elektra|Marvel Comics,Female,Human,good,Black,blue,Unknown,"{'Height': '175.0 cm', 'Weight': '59.0 kg'}"
Elongated Man|DC Comics,Male,Unknown,good,Red,blue,Unknown,"{'Height': '185.0 cm', 'Weight': '80.0 kg'}"
Emma Frost|Marvel Comics,Female,Unknown,good,Blond,blue,Unknown,"{'Height': '178.0 cm', 'Weight': '65.0 kg'}"
Enchantress|DC Comics,Female,Human,good,Blond,blue,Unknown,"{'Height': '168.0 cm', 'Weight': '57.0 kg'}"
Etrigan|DC Comics,Male,Demon,neutral,No Hair,red,yellow,"{'Height': '193.0 cm', 'Weight': '203.0 kg'}"
Evil Deadpool|Marvel Comics,Male,Mutant,bad,Red,white,Unknown,"{'Height': '188.0 cm', 'Weight': '95.0 kg'}"
Evilhawk|Marvel Comics,Male,Alien,bad,Black,red,green,"{'Height': '191.0 cm', 'Weight': '106.0 kg'}"
Exodus|Marvel Comics,Male,Mutant,bad,Black,blue,red,"{'Height': '183.0 cm', 'Weight': '88.0 kg'}"
Fabian Cortez|Marvel Comics,Unknown,Unknown,bad,Brown,blue,Unknown,"{'Height': '196.0 cm', 'Weight': '96.0 kg'}"
Falcon|Marvel Comics,Male,Human,good,Black,brown,Unknown,"{'Height': '188.0 cm', 'Weight': '108.0 kg'}"
Feral|Marvel Comics,Unknown,Unknown,good,Orange / White,yellow (without irises),Unknown,"{'Height': '175.0 cm', 'Weight': '50.0 kg'}"
Fin Fang Foom|Marvel Comics,Male,Kakarantharaian,good,No Hair,red,green,"{'Height': '975.0 cm', 'Weight': '18.0 kg'}"
Firebird|Marvel Comics,Female,Unknown,good,Black,brown,Unknown,"{'Height': '165.0 cm', 'Weight': '56.0 kg'}"
Firelord|Marvel Comics,Unknown,Unknown,good,Yellow,white,Unknown,"{'Height': '193.0 cm', 'Weight': '99.0 kg'}"
Firestar|Marvel Comics,Female,Mutant,good,Red,green,Unknown,"{'Height': '173.0 cm', 'Weight': '56.0 kg'}"
Firestorm|DC Comics,Male,Human,good,Auburn,blue,Unknown,"{'Height': '188.0 cm', 'Weight': '91.0 kg'}"
Flash|DC Comics,Male,Human,good,Brown / White,blue,Unknown,"{'Height': '180.0 cm', 'Weight': '81.0 kg'}"
Flash II|DC Comics,Male,Human,good,Blond,blue,Unknown,"{'Height': '183.0 cm', 'Weight': '88.0 kg'}"
Flash III|DC Comics,Male,Human,good,Unknown,Unknown,Unknown,"{'Height': '183.0 cm', 'Weight': '86.0 kg'}"
Flash IV|DC Comics,Male,Human,good,Auburn,yellow,Unknown,"{'Height': '157.0 cm', 'Weight': '52.0 kg'}"
Forge|Marvel Comics,Unknown,Unknown,good,Black,brown,Unknown,"{'Height': '183.0 cm', 'Weight': '81.0 kg'}"
Franklin Richards|Marvel Comics,Male,Mutant,good,Blond,blue,Unknown,"{'Height': '142.0 cm', 'Weight': '45.0 kg'}"
Frenzy|Marvel Comics,Female,Unknown,bad,Black,brown,Unknown,"{'Height': '211.0 cm', 'Weight': '104.0 kg'}"
Frigga|Marvel Comics,Female,Unknown,good,White,blue,Unknown,"{'Height': '180.0 cm', 'Weight': '167.0 kg'}"
Galactus|Marvel Comics,Male,Cosmic Entity,neutral,Black,black,Unknown,"{'Height': '876.0 cm', 'Weight': '16.0 kg'}"
Gambit|Marvel Comics,Male,Mutant,good,Brown,red,Unknown,"{'Height': '185.0 cm', 'Weight': '81.0 kg'}"
Gamora|Marvel Comics,Female,Zen-Whoberian,good,Black,yellow,green,"{'Height': '183.0 cm', 'Weight': '77.0 kg'}"
Genesis|Marvel Comics,Male,Unknown,good,Blond,blue,Unknown,"{'Height': '185.0 cm', 'Weight': '86.0 kg'}"
Ghost Rider|Marvel Comics,Male,Demon,good,No Hair,red,Unknown,"{'Height': '188.0 cm', 'Weight': '99.0 kg'}"
Giganta|DC Comics,Female,Unknown,bad,Red,green,Unknown,"{'Height': '62.5 cm', 'Weight': '630.0 kg'}"
Gladiator|Marvel Comics,Male,Strontian,neutral,Blue,blue,purple,"{'Height': '198.0 cm', 'Weight': '268.0 kg'}"
Goblin Queen|Marvel Comics,Female,Unknown,bad,Red,green,Unknown,"{'Height': '168.0 cm', 'Weight': '50.0 kg'}"
Goku|Shueisha,Male,Saiyan,good,Unknown,Unknown,Unknown,"{'Height': '175.0 cm', 'Weight': '62.0 kg'}"
Goliath IV|Marvel Comics,Male,Unknown,good,Black,brown,Unknown,"{'Height': '183.0 cm', 'Weight': '90.0 kg'}"
Gorilla Grodd|DC Comics,Male,Gorilla,bad,Black,yellow,Unknown,"{'Height': '198.0 cm', 'Weight': '270.0 kg'}"
Granny Goodness|DC Comics,Female,Unknown,bad,White,blue,Unknown,"{'Height': '178.0 cm', 'Weight': '115.0 kg'}"
Gravity|Marvel Comics,Male,Human,good,Brown,blue,Unknown,"{'Height': '178.0 cm', 'Weight': '79.0 kg'}"
Green Arrow|DC Comics,Male,Human,good,Blond,green,Unknown,"{'Height': '188.0 cm', 'Weight': '88.0 kg'}"
Green Goblin|Marvel Comics,Male,Human,bad,Auburn,blue,Unknown,"{'Height': '180.0 cm', 'Weight': '83.0 kg'}"
Green Goblin II|Marvel Comics,Male,Unknown,bad,Auburn,blue,Unknown,"{'Height': '178.0 cm', 'Weight': '77.0 kg'}"
Green Goblin III|Marvel Comics,Male,Unknown,good,Unknown,Unknown,Unknown,"{'Height': '183.0 cm', 'Weight': '88.0 kg'}"
Green Goblin IV|Marvel Comics,Male,Unknown,good,Brown,green,Unknown,"{'Height': '178.0 cm', 'Weight': '79.0 kg'}"
Groot|Marvel Comics,Male,Flora Colossus,good,Unknown,yellow,Unknown,"{'Height': '701.0 cm', 'Weight': '4.0 kg'}"
Guy Gardner|DC Comics,Male,Human-Vuldarian,good,Red,blue,Unknown,"{'Height': '188.0 cm', 'Weight': '95.0 kg'}"
Hal Jordan|DC Comics,Male,Human,good,Brown,brown,Unknown,"{'Height': '188.0 cm', 'Weight': '90.0 kg'}"
Han Solo|George Lucas,Male,Human,good,Brown,brown,Unknown,"{'Height': '183.0 cm', 'Weight': '79.0 kg'}"
Harley Quinn|DC Comics,Female,Human,bad,Blond,blue,Unknown,"{'Height': '170.0 cm', 'Weight': '63.0 kg'}"
Havok|Marvel Comics,Male,Mutant,good,Blond,blue,Unknown,"{'Height': '183.0 cm', 'Weight': '79.0 kg'}"
Hawk|DC Comics,Male,Unknown,good,Brown,red,Unknown,"{'Height': '185.0 cm', 'Weight': '89.0 kg'}"
Hawkeye|Marvel Comics,Male,Human,good,Blond,blue,Unknown,"{'Height': '191.0 cm', 'Weight': '104.0 kg'}"
Hawkeye II|Marvel Comics,Female,Human,good,Black,blue,Unknown,"{'Height': '165.0 cm', 'Weight': '57.0 kg'}"
Hawkgirl|DC Comics,Female,Unknown,good,Red,green,Unknown,"{'Height': '175.0 cm', 'Weight': '61.0 kg'}"
Hawkman|DC Comics,Male,Unknown,good,Brown,blue,Unknown,"{'Height': '185.0 cm', 'Weight': '88.0 kg'}"
Heat Wave|DC Comics,Male,Human,bad,No Hair,blue,Unknown,"{'Height': '180.0 cm', 'Weight': '81.0 kg'}"
Hela|Marvel Comics,Female,Asgardian,bad,Black,green,Unknown,"{'Height': '213.0 cm', 'Weight': '225.0 kg'}"
Hellboy|Dark Horse Comics,Male,Demon,good,Black,gold,Unknown,"{'Height': '259.0 cm', 'Weight': '158.0 kg'}"
Hellcat|Marvel Comics,Female,Human,good,Red,blue,Unknown,"{'Height': '173.0 cm', 'Weight': '61.0 kg'}"
Hellstorm|Marvel Comics,Male,Unknown,good,Red,red,Unknown,"{'Height': '185.0 cm', 'Weight': '81.0 kg'}"
Hercules|Marvel Comics,Male,Demi-God,good,Brown,blue,Unknown,"{'Height': '196.0 cm', 'Weight': '146.0 kg'}"
Hobgoblin|Marvel Comics,Male,Unknown,bad,Grey,blue,Unknown,"{'Height': '180.0 cm', 'Weight': '83.0 kg'}"
Hope Summers|Marvel Comics,Female,Unknown,good,Red,green,Unknown,"{'Height': '168.0 cm', 'Weight': '48.0 kg'}"
Hulk|Marvel Comics,Male,Human / Radiation,good,Green,green,green,"{'Height': '244.0 cm', 'Weight': '630.0 kg'}"
Human Torch|Marvel Comics,Male,Human / Radiation,good,Blond,blue,Unknown,"{'Height': '178.0 cm', 'Weight': '77.0 kg'}"
Huntress|DC Comics,Female,Unknown,good,Black,blue,Unknown,"{'Height': '180.0 cm', 'Weight': '59.0 kg'}"
Husk|Marvel Comics,Female,Mutant,good,Blond,blue,Unknown,"{'Height': '170.0 cm', 'Weight': '58.0 kg'}"
Hybrid|Marvel Comics,Male,Symbiote,good,Black,brown,Unknown,"{'Height': '175.0 cm', 'Weight': '77.0 kg'}"
Hydro-Man|Marvel Comics,Male,Unknown,bad,Brown,brown,Unknown,"{'Height': '188.0 cm', 'Weight': '119.0 kg'}"
